invoice_id,invoice_date,invoice_due_date,invoice_cost,invoice_currency,invoice_status,supplier_internal_id,supplier_external_id,supplier_company_name,supplier_address,supplier_city,supplier_country,supplier_contact_name,supplier_phone,supplier_email,supplier_bank_code,supplier_bank_branch_code,supplier_bank_account_number,supplier_status,supplier_stock_value,supplier_withholding_tax
INV1908,06/07/2024,14/08/2024,1829.3,GBP,CONFIRMED,SUPP465,EXT954552,"Butler, White and Montoya","37347 Gonzalez Roads, Jacksonville, NM 48912",Matthewton,UY,Tonya White,(426)571-9768x306,jonesgwendolyn@rodriguez-harrington.com,79,3,84813882,INACTIVE,4538,18.2
INV4534,14/01/2025,03/01/2025,2228.62,USD,PENDING,SUPP001,EXT000111,Supplier 1 Inc.,"20416 Jones Flat Suite 362, Lake Hannah, AL 93591",New Abigail,BZ,Sara Frank,003.459.6506x495,julian35@sanford-wise.com,83,7,85283306,ACTIVE,4077,5.7
INV2231,13/05/2024,08/10/2024,1761.01,GBP,PAID,SUPP249,EXT437916,"Wilkerson, Freeman and Day","252 Marshall Pine, West John, IN 71503",Gonzalezshire,TG,Vanessa Wiley,+1-628-958-2395x53203,ryanpatterson@willis-caldwell.biz,15,4,44538149,INACTIVE,7130,9.6
INV6051,20/08/2024,23/09/2024,2458.68,USD,PENDING,SUPP208,EXT225494,King and Sons,"247 Obrien Gardens Suite 337, North Michaelstad, IL 15885",North James,NA,Ashley Carlson,730-474-5533,kimberlyfinley@gmail.com,64,7,91901852,ACTIVE,1483,7.7
INV3752,26/08/2024,08/02/2025,4752.14,GBP,PAID,SUPP424,EXT352499,Sanchez Ltd,"Unit 7085 Box 6206, DPO AP 07752",Thomasbury,FJ,Paula Foster,748-306-8333,oanderson@gmail.com,80,4,74160411,INACTIVE,8076,12.7
INV1365,22/01/2024,12/03/2024,3504.12,EUR,PENDING,SUPP001,EXT000111,Supplier 1 Inc.,"47085 Michael Ways, East Kimberly, MN 68160",Williamsshire,SA,Teresa Andrade,-6347,hernandezcasey@hotmail.com,11,9,21434792,ACTIVE,5510,6
INV5627,11/06/2024,14/08/2024,3870.92,USD,PAID,SUPP179,EXT247123,Moore Ltd,"87396 Tucker Points, North Benjaminstad, MO 48471",Jasonview,EG,Mrs. Tara Sanders MD,(955)246-2265x750,turneranthony@hotmail.com,40,1,61144541,ACTIVE,6785,11.4
INV3690,03/05/2024,29/03/2024,855.7,USD,CONFIRMED,SUPP001,EXT000111,Supplier 1 Inc.,"PSC 0064, Box 6375, APO AP 55178",Troyshire,AT,James Perry,2469282992,ahernandez@lee.com,55,6,33611680,INACTIVE,8112,13.4
INV7531,26/02/2024,08/01/2024,1128.71,GBP,CANCELLED,SUPP134,EXT885304,Taylor Ltd,"48354 Fields Rue, Victorport, AZ 25653",Burkemouth,MX,Michael Hunt,744.027.3948x67918,romeromark@yahoo.com,56,5,92949594,ACTIVE,4108,19.5
INV5749,17/06/2024,31/03/2024,669.39,USD,PAID,SUPP293,EXT818130,"Larson, Jenkins and Johnson","91923 Lindsey Forges, New Joshua, MO 47802",Johnstad,CH,Hector Tucker,(418)187-7580,cruzrobert@hotmail.com,33,4,39422817,ACTIVE,9698,19.4
INV4251,06/11/2024,20/01/2025,923.15,GBP,CANCELLED,SUPP001,EXT000111,Supplier 1 Inc.,"0092 Burton Mountain, Brayside, FL 08157",Payneborough,VA,Thomas Murray,858-443-8560,kbennett@gmail.com,53,10,79458615,ACTIVE,8336,17.3
INV1999,21/05/2024,04/08/2024,4307.65,USD,CONFIRMED,SUPP395,EXT324523,Malone LLC,"93410 Michael Track, Johnsonberg, NH 65030",Julieton,MZ,Sean Mitchell,-3289,kylehaas@gmail.com,29,3,33289678,INACTIVE,8069,7.6
INV2670,12/05/2024,30/01/2025,3176.57,EUR,PENDING,SUPP792,EXT227548,"Harvey, Brewer and Brown","86625 Miller Mews Suite 078, Nicholasport, RI 93765",Port Angelaville,CY,Jessica Jenkins,(300)582-4864x0395,tatestephen@smith.org,37,2,25282442,INACTIVE,3507,12
INV4198,18/06/2024,24/09/2024,4121.73,USD,CONFIRMED,SUPP790,EXT781810,Fisher Group,"0275 Samantha Pike Apt. 056, Ramoschester, HI 93565",Yolandamouth,BO,Mary Taylor,+1-346-609-2902x88158,susanmunoz@hotmail.com,27,6,73300024,INACTIVE,4969,17
INV4901,04/11/2024,31/01/2025,2217.71,USD,PAID,SUPP946,EXT123773,Turner-Davis,"70453 Romero Skyway, Jacobton, WY 45559",West Nicoleland,EG,Ryan Gonzales,312.321.1321x584,regina03@yahoo.com,72,1,93541591,INACTIVE,1189,14.8
INV7532,20/04/2024,13/03/2024,1349.19,USD,PENDING,SUPP436,EXT696594,"Brown, Buckley and Johnson","9307 Johnson Well Apt. 853, Lake Jennifer, AZ 96324",Laurenbury,SO,Daniel Campbell,(398)738-8239x3676,lisasullivan@gregory-kelly.com,18,5,71273635,INACTIVE,8917,18.4
INV4079,23/01/2024,05/03/2024,3257.97,GBP,CANCELLED,SUPP222,EXT533221,Leon PLC,"9266 Andrew Knoll, Allenport, ID 60944",North Matthewland,PL,Jennifer Walker,-11362,cgrant@hotmail.com,34,4,91097657,ACTIVE,9749,13.1
INV6210,24/09/2024,22/01/2025,3489.19,USD,CANCELLED,SUPP508,EXT997060,"Schmidt, Moran and Simmons","827 Joseph Falls, Williamschester, ND 60513",Kiarastad,TZ,Emily Houston,+1-230-111-5762x53152,bethrussell@cooper.com,81,6,40827384,INACTIVE,5931,17.1
INV1473,30/03/2024,10/01/2024,2600.11,USD,CANCELLED,SUPP411,EXT375110,Vargas Group,"Unit 5036 Box 2812, DPO AE 07907",Ortizshire,KR,Jonathan Munoz,-10129,maria58@yahoo.com,67,5,20155293,INACTIVE,1719,15.3
INV1731,05/02/2024,20/02/2025,606.4,EUR,CANCELLED,SUPP413,EXT683557,Mercado Group,"7116 Brown Ridge Suite 907, West Jeremiah, CA 70265",Hamiltonfurt,TT,Alexander Gutierrez,(266)604-7508,mariaphillips@gmail.com,48,1,54235786,INACTIVE,1191,14.8
INV9543,27/03/2024,05/02/2024,4430.43,EUR,CONFIRMED,SUPP891,EXT911776,"Moreno, Richardson and Hunt","159 Sara Stream Suite 434, Lake Graceport, AL 60062",South Tamara,JO,Carla Curtis,(642)982-0002x876,cynthiajackson@turner.com,93,9,12784397,ACTIVE,9888,16.6
INV6926,09/07/2024,26/11/2024,3927.69,GBP,PAID,SUPP633,EXT887284,Myers-Lee,"12547 Pittman Shore, East Christine, GA 76751",Hoganshire,SL,Debra Gonzalez,235.386.0091,jaredgonzales@hotmail.com,28,3,30590024,ACTIVE,7096,10.7
INV3180,29/08/2024,15/02/2025,3392.42,EUR,CONFIRMED,SUPP262,EXT525141,"Burton, Winters and Sutton","28297 Juan Village, Bryanside, HI 26401",West Aaron,PT,Nicole Woodard,673-713-5724,mcmahonjason@yahoo.com,25,6,86589434,ACTIVE,7238,5.5
INV9493,20/11/2024,04/05/2025,678.4,EUR,PAID,SUPP495,EXT768371,Humphrey-Wood,"1630 Ibarra Flats, Scottburgh, OH 53170",Mcmahonbury,GE,Jacob Nguyen,401.660.8112x3075,mcarter@king.net,16,2,12752931,ACTIVE,7392,7.5
INV1000,07/12/2024,26/02/2025,704.9,USD,PAID,SUPP270,EXT326956,Neal-Johnson,"0568 Jesse Plaza Apt. 148, Lisatown, MD 12089",East Dianaside,IE,Alex Gonzalez,(426)312-6675x52969,kristine11@bush-stewart.com,91,3,22238965,ACTIVE,2178,16.6
INV9188,07/03/2024,23/01/2025,1649.54,USD,CONFIRMED,SUPP456,EXT578738,Williams Inc,"856 Lance Corner, Jenniferland, VT 10562",New Elizabeth,IS,Rachel Ellison,4016139271,keitharcher@gutierrez.com,50,10,80179232,INACTIVE,2417,17.9
INV8214,13/02/2024,07/04/2024,512.23,GBP,PAID,SUPP149,EXT952839,Kelley-Santiago,"81864 Jean Circles Suite 199, New Heiditown, MO 64150",Bryantstad,MD,Anthony Richmond,(156)549-1808x88328,dannywang@allen-scott.com,82,6,19457834,ACTIVE,9650,19
INV8747,29/01/2024,05/02/2025,4294.28,USD,PAID,SUPP536,EXT513733,"Berry, Wilson and Williams","4080 Gay Expressway, Raymondtown, WA 55917",New Angela,LY,Joel Maynard,048.152.5923,lisahoffman@reed.com,18,1,59867017,ACTIVE,3832,14.8
INV1128,30/08/2024,21/12/2024,2684.74,EUR,CONFIRMED,SUPP260,EXT566163,"Martinez, Kerr and Mosley","23916 Adrienne Glens Apt. 705, East Benjaminside, MD 09119",North Lisa,IQ,Eric Lucero,001-862-500-3149x4749,james04@hotmail.com,23,9,59647803,ACTIVE,3440,7.7
INV8693,13/10/2024,09/03/2025,1695.33,EUR,PAID,SUPP265,EXT882299,Richards and Sons,"54027 Michelle Crest, Tuckermouth, IL 90344",North Kyleberg,SR,James Parks,(529)188-9819,millskaitlin@kelly-green.com,68,8,60930955,ACTIVE,7398,5.7
INV9695,26/10/2024,22/04/2025,2734.73,EUR,PAID,SUPP653,EXT600863,Torres-Mcguire,"90095 Rebecca Motorway, New Johnside, IN 63515",Kathleenborough,EG,Michelle Holloway,015.348.7364,eric64@yahoo.com,87,10,35944766,INACTIVE,6179,14.6
INV7982,12/02/2024,01/02/2025,4450.45,EUR,CONFIRMED,SUPP521,EXT718727,Hill-Beck,"305 Thomas Mission Suite 313, Brandonhaven, IN 74246",Moorebury,BW,Julie Olson,3820049779,catherinemiller@garza.info,25,8,43165321,ACTIVE,6076,19.7
INV6529,15/04/2024,20/07/2024,709.18,GBP,PENDING,SUPP333,EXT339237,Skinner-Osborne,"611 Julian Mountains Suite 805, Lake Tyroneburgh, MN 14851",Port Sharon,BH,Martha Delgado,(242)067-9163x0665,acosta@hotmail.com,93,2,95806943,ACTIVE,1028,12.9
INV6924,27/10/2024,26/08/2024,2607.92,GBP,CANCELLED,SUPP419,EXT232057,Walsh Group,"44283 Carrillo Manors, Summersside, FL 73319",Lake Benjamin,FM,Judy Branch,(731)087-1393,bflores@willis-riggs.com,85,7,54346353,ACTIVE,7137,8.5
INV2629,12/11/2024,26/04/2025,4610.87,EUR,CANCELLED,SUPP773,EXT355288,Mckay-Nguyen,"4681 Mario View, Tannerfort, SC 90337",Nunezmouth,GR,Benjamin Carter,501-597-2852x456,susan21@wilson.net,44,1,85725849,INACTIVE,8330,18.9
INV9673,20/06/2024,23/01/2025,2191.47,GBP,PAID,SUPP952,EXT836274,Arellano-Garcia,"36656 Calvin Divide Suite 588, Randallmouth, AL 70740",Waynefurt,AE,Shelly Black,(844)690-0007x862,zcook@morgan.com,22,3,80949534,ACTIVE,2423,8.4
INV5268,26/07/2024,06/07/2024,2960.91,EUR,PAID,SUPP604,EXT355021,Gomez and Sons,"24757 Wendy Landing Suite 729, Jefferyburgh, IN 64572",East Andrewshire,NR,Rachel Hill,340-394-6979x46572,brittany97@castillo-morris.com,62,4,22554829,INACTIVE,4101,19.6
INV7022,06/07/2024,27/01/2025,2076,EUR,PENDING,SUPP329,EXT327142,Harvey-Smith,"56976 Burke Villages Apt. 490, Edwardsmouth, DC 52484",Nicholsontown,AU,Trevor Bowers,861.238.2408x2629,timothy13@martin-wilkinson.com,68,1,84125305,INACTIVE,3919,9.1
INV6290,03/01/2025,10/02/2025,4352.58,GBP,CONFIRMED,SUPP728,EXT165791,Chase and Sons,"8954 Kathleen Squares Suite 055, Jordanberg, CO 53650",Robertschester,GB,Melissa Lopez,+1-717-736-7877x6085,pamela49@gmail.com,69,3,67175986,ACTIVE,1659,7.4
INV3211,30/04/2024,19/08/2024,3364.77,USD,CANCELLED,SUPP694,EXT285970,"Taylor, Warren and Erickson","0297 Lisa Estate, Port Zacharyberg, IL 19601",Jacksonport,NZ,John Wolf,1845636107,zwilliams@hotmail.com,47,2,12924168,ACTIVE,7390,6.3
INV3493,10/06/2024,07/02/2025,561.64,GBP,CANCELLED,SUPP325,EXT813170,Ferguson LLC,"2494 Adam Terrace Suite 428, South Daniel, MO 29700",Lake Williambury,JP,Vanessa Pruitt,9151741343,douglas66@rogers.biz,10,1,53276972,ACTIVE,9050,8.9
INV1277,16/05/2024,17/02/2025,4789.97,USD,CONFIRMED,SUPP126,EXT536589,"Thompson, Rogers and Park","3626 Laura Gateway, Seanville, SC 42254",East Roy,KI,Justin Duncan,757.211.0144x4507,kari29@holder.com,70,2,37307009,ACTIVE,1361,12.3
INV3976,03/05/2024,28/01/2025,3894.1,USD,CANCELLED,SUPP512,EXT363749,Jackson-Hunt,"456 Angela Gateway Apt. 193, Port Earl, MS 10219",Lake Rebeccahaven,TL,Carolyn Brown,(361)907-4885x192,stephaniedalton@coleman.info,19,9,38673450,ACTIVE,6193,18.4
INV5446,15/07/2024,10/06/2024,2105.76,GBP,CONFIRMED,SUPP409,EXT354425,Medina LLC,"8925 Andrea Squares Apt. 205, Michaelville, WV 21146",New Mark,ZA,Francisco Lindsey,787.127.7032x282,brian90@yahoo.com,62,4,41184752,ACTIVE,7236,11.3
INV6161,08/10/2024,01/01/2025,2910.81,EUR,PAID,SUPP987,EXT684101,Boone-Ortiz,"966 Robyn Causeway, North Shawn, NJ 44227",East Margarettown,ID,Melissa Bradley,302.425.3247,hodgerobert@gmail.com,94,1,95172707,ACTIVE,9836,13.5
INV6310,18/03/2024,06/02/2024,697.99,USD,PAID,SUPP978,EXT143844,"Mcdaniel, Payne and Stafford","736 Rocha Heights Suite 493, West Julieton, IN 31886",North Bradley,GH,Michael Wells,001-393-040-8417,kbarrett@taylor.com,35,4,58186118,INACTIVE,8708,19.3
INV4664,30/04/2024,26/04/2024,1106.19,EUR,CANCELLED,SUPP755,EXT898501,Bradford-Spencer,"9538 Reed Drive, Krystalland, MT 98281",North Elizabethberg,MU,Oscar Wilson,941-257-1489,jessicahowell@nicholson.net,45,9,17807679,INACTIVE,4336,7.2
INV4945,03/06/2024,27/11/2024,4278.9,USD,PENDING,SUPP762,EXT309751,Spencer-Morgan,"08439 Matthew Route, West Jamie, MA 21501",North Hannahport,CV,John Rivera,3626114996,robinsonsue@yahoo.com,49,8,55233823,ACTIVE,5152,19.8
INV1295,09/01/2025,03/06/2025,2993.08,EUR,CANCELLED,SUPP745,EXT622781,"Evans, Dawson and Johnson","851 Reyes Curve Suite 189, Port Samantha, MS 64636",Johnsonville,LR,William Oconnell,(229)781-9167,npage@gmail.com,70,7,72637708,ACTIVE,2645,9.8
INV2252,30/05/2024,24/01/2025,4079.86,GBP,CONFIRMED,SUPP218,EXT871654,Gomez-Valdez,"31518 Charles Union, Campbelltown, DE 34838",New Thomashaven,LK,Ms. Alyssa Ramirez,(485)049-8893,samantha28@hotmail.com,22,10,13961268,INACTIVE,2930,5.6
INV9453,04/01/2025,09/11/2024,2754.77,USD,CONFIRMED,SUPP675,EXT530473,"Grant, Parker and Haas","299 Connie Groves Suite 031, Jacobsstad, CA 48724",Port Jose,AZ,Linda Clark,001-339-762-0915,coxbrian@lopez.com,78,6,76703480,ACTIVE,1878,18.6
INV7093,23/12/2024,13/11/2024,3392.02,EUR,PAID,SUPP292,EXT832225,Garcia-Davis,"448 Bernard Islands, Sarahmouth, NE 62924",Sherrihaven,AE,Shelly Morgan,+1-196-288-7394x676,ccervantes@yahoo.com,30,9,71086222,INACTIVE,1857,12.7
INV3417,29/08/2024,07/02/2025,1209.59,GBP,CANCELLED,SUPP504,EXT535496,Thompson-Rush,"82591 Amanda Club Suite 919, Rebeccabury, RI 33064",North Ashleyshire,SN,Ernest Jimenez,001-826-016-1969,william27@gmail.com,48,3,44127815,INACTIVE,5871,11.8
INV7815,22/01/2024,12/02/2025,2779.19,GBP,CONFIRMED,SUPP245,EXT316554,"Cochran, Sanchez and Cook","Unit 8689 Box 1569, DPO AA 52199",East Katelynbury,CD,Charlotte Krause,+1-236-923-7985x1573,znavarro@hotmail.com,62,4,43582680,INACTIVE,1657,16.1
INV3644,03/07/2024,03/08/2024,1304.78,USD,CONFIRMED,SUPP797,EXT448853,Powell-Ramirez,"21851 Peters Extensions, South Michellechester, ME 20994",Lake Kristinberg,CA,Justin Molina,+1-989-328-8038x499,stevenmiller@graham-goodwin.org,94,10,63459459,ACTIVE,9187,18
INV7868,19/12/2024,27/01/2025,4110.62,GBP,PAID,SUPP158,EXT537191,"Gilmore, Rangel and Ortega","12014 Diane Ferry Apt. 739, Jessicatown, SC 60578",Lake Michael,EC,Christopher Michael,486-586-7688x3404,hwagner@hall-smith.com,95,3,40057951,ACTIVE,5802,7
INV1906,26/01/2024,14/02/2025,2840.31,GBP,PENDING,SUPP860,EXT713880,Figueroa and Sons,"5730 Martin Turnpike Apt. 358, Travisville, CO 43488",Lisatown,SV,Joe Taylor,-7520,owensjoseph@steele.com,68,7,41625685,ACTIVE,4335,5.9
INV2950,24/10/2024,10/02/2025,3571.6,USD,CANCELLED,SUPP133,EXT154830,"Moody, Smith and Morrison","304 Banks Light, Stephanietown, MD 95798",South Alishastad,TL,Christina Soto,693-612-2756x85925,bauermicheal@shaffer.biz,89,10,73923006,ACTIVE,1220,14.8
INV5651,31/05/2024,31/03/2024,4795.13,EUR,CANCELLED,SUPP914,EXT633816,Williams PLC,"3776 Carson Park Suite 142, Whitehaven, OH 72051",Lake Gregoryland,CM,Louis Hopkins,+1-549-867-9949x1766,dnguyen@lopez-collins.info,55,9,12851961,INACTIVE,7906,19.9
INV7791,19/08/2024,04/07/2024,546.23,USD,CONFIRMED,SUPP799,EXT143422,Francis-Rivera,"36892 Christian Valley, Bellbury, NH 90604",Rothchester,GE,Brittney Hughes,047-268-9782x2155,randallsimpson@kelley-thompson.com,31,1,78721085,INACTIVE,4686,17.5
INV1188,17/09/2024,22/01/2025,1170.64,USD,CONFIRMED,SUPP497,EXT498624,"Richards, Phillips and Walter","USCGC Contreras, FPO AP 84824",Cynthiachester,LU,Gary Lewis,546.948.6002x775,foxlacey@white.org,56,10,34459570,INACTIVE,9960,11
INV7125,02/01/2025,31/10/2024,4775.36,EUR,CONFIRMED,SUPP906,EXT578666,Stout LLC,"153 Wendy Drive, West Rachelland, NE 77817",South Michael,BR,Roberto Miller DDS,001-280-791-2567,igonzalez@gmail.com,83,1,48720127,INACTIVE,6637,7.3
INV7071,11/05/2024,05/08/2024,2622.03,GBP,CONFIRMED,SUPP982,EXT148524,Frederick-Green,"Unit 5626 Box 2056, DPO AE 73501",New Kristopher,GT,Lisa Davis,+1-510-812-6168x23254,wcallahan@yahoo.com,48,2,26268769,ACTIVE,3250,9.1
INV4700,23/07/2024,06/06/2024,2307.73,EUR,CANCELLED,SUPP988,EXT258941,"Salas, Thomas and Guerra","712 Kyle Plains, Michaelmouth, CA 95723",West Kristenport,MA,Stephen Benjamin,+1-170-844-0304x088,zmcbride@hotmail.com,88,4,72975082,INACTIVE,3731,7.3
INV1573,29/04/2024,30/08/2024,3516.75,USD,CONFIRMED,SUPP796,EXT251193,Davis PLC,"USS Maxwell, FPO AE 00682",Bethton,EE,Suzanne Collins,437-247-7555x974,aklein@yahoo.com,57,3,85147049,ACTIVE,6490,5.8
INV1472,17/08/2024,27/01/2025,2898.91,EUR,CANCELLED,SUPP515,EXT273815,Jones-Chan,"USS Chan, FPO AP 97422",Port Krystalfurt,FI,Tyler Newton,608-090-2993x5967,jenkinsdavid@yahoo.com,24,10,70844104,INACTIVE,8800,18.1
INV9037,15/05/2024,23/08/2024,2399.71,GBP,CANCELLED,SUPP699,EXT382057,Walker Ltd,"09752 Young Shores, Burnettfort, NC 03998",Kimberlymouth,CA,Anthony Novak,(522)357-1920x322,castilloallen@hotmail.com,72,8,69271523,ACTIVE,4618,20
INV2651,27/11/2024,25/01/2025,1924.92,USD,PENDING,SUPP446,EXT424048,Griffin Group,"PSC 4049, Box 7222, APO AP 38213",Port Tracystad,AO,Pamela Serrano,861-768-6119x8671,tammiejohnson@scott.com,33,3,38530332,ACTIVE,2603,14.5
INV6772,29/02/2024,31/01/2025,1071.13,USD,PAID,SUPP619,EXT354304,"Young, Tate and Clark","8382 Michael Coves Apt. 682, Parkermouth, AR 86509",Toniton,QA,Mr. Charles Luna,+1-427-892-3314x969,joshuapatterson@yahoo.com,90,5,94254286,ACTIVE,7516,9.5
INV6937,21/10/2024,18/02/2025,616.75,GBP,PENDING,SUPP717,EXT762935,Schneider Group,"31408 Krystal Crescent, Loritown, WI 82490",Port Austin,NG,Luis Perez,(796)633-4088x854,davisthomas@jenkins.com,39,6,56838811,ACTIVE,7495,9.6
INV6129,08/06/2024,13/11/2024,2308.68,USD,PAID,SUPP174,EXT205881,"Zuniga, Thomas and Gomez","901 Donna Neck Apt. 548, Thorntonton, AR 22359",Hamptonburgh,TW,Jason Neal,+1-916-766-7491x52819,aprilhernandez@solis.net,81,2,52419147,INACTIVE,4718,11.3
INV8990,11/10/2024,16/02/2025,3281.45,USD,CANCELLED,SUPP476,EXT285211,Spence Group,"281 Lawson Plain, Antonioview, ID 16147",Tylerfort,IN,Christine Williams,-10253,pamela01@walsh.info,80,3,30500453,INACTIVE,3501,16.6
INV1127,21/09/2024,13/03/2025,556.68,USD,PENDING,SUPP820,EXT926755,"Herrera, Cortez and Perry","1787 Nathaniel Rue Suite 771, Brettside, WY 84037",Santosburgh,LV,Ross Fisher,032-909-9766x12203,gregory24@jenkins-edwards.com,11,1,14274693,ACTIVE,1527,19.6
INV2516,12/09/2024,02/12/2024,4083.65,EUR,CANCELLED,SUPP527,EXT767501,"Patterson, West and Taylor","883 Anthony Wells, East John, FL 03812",Jessehaven,ZA,Carl Chapman,-7011,nancystewart@gmail.com,90,6,33167889,INACTIVE,6204,17.9
INV5494,04/02/2024,04/06/2024,4037.85,GBP,CONFIRMED,SUPP663,EXT255524,Hartman-Wright,"70162 Patrick Cove, Johnsonside, WA 55510",Piercehaven,LC,Karen Hughes,001-759-071-1533x050,jacksonhoward@figueroa.biz,72,7,47345773,ACTIVE,8839,10.7
INV8152,15/08/2024,07/06/2024,1829.19,GBP,CONFIRMED,SUPP939,EXT639850,Smith-Crosby,"48763 Leach Orchard Suite 064, Michelletown, WY 45346",Lake Markport,KE,Jacqueline Vega,001-428-074-3043x49000,sueruiz@gmail.com,99,9,99871823,INACTIVE,6462,11.1
INV7284,19/04/2024,02/04/2024,4244.34,USD,PAID,SUPP356,EXT121686,Knox Group,"360 Matthew Track, Port Jeffery, NC 17717",Holmeston,ST,Bonnie Hayes,+1-508-250-3270x772,clarkdonald@oliver-martinez.net,39,7,41086899,ACTIVE,3366,19.2
INV8156,11/03/2024,14/02/2024,3894.63,USD,CANCELLED,SUPP719,EXT175672,Ryan-Mills,"930 Bruce Falls, South Aprilfort, OH 49954",Matthewport,KP,Melissa Hernandez,001-621-213-7730x38743,anneclay@gmail.com,99,7,14052594,INACTIVE,8297,6.8
INV4408,28/06/2024,11/04/2024,4425.45,GBP,CANCELLED,SUPP729,EXT924237,Manning-Holt,"402 Randall Common, Brooksmouth, OH 48313",Jenniferberg,BN,Andrea Estrada,6180367204,bellcrystal@hicks.biz,95,5,92572142,ACTIVE,3727,18.6
INV7389,14/12/2024,20/02/2025,1149.17,GBP,PENDING,SUPP994,EXT941253,Mueller-Stanley,"82127 Heidi Throughway Apt. 978, Jeffreyside, OR 32244",East Pamelashire,MM,Anthony Nguyen,589-391-7527,brent68@williams-hardin.com,84,5,11384563,INACTIVE,6468,17.2
INV2505,01/02/2024,30/04/2024,3053.21,EUR,PENDING,SUPP828,EXT722998,Harris Ltd,"53024 Charlotte Mountains, Lake Deanside, OH 13476",Olsonfort,GY,Maria Gray,(972)484-6683x5967,benjaminnicole@gmail.com,45,8,42455664,ACTIVE,8320,14.8
INV3978,28/09/2024,08/02/2025,4167.81,GBP,CONFIRMED,SUPP838,EXT454566,Sweeney-Valencia,"1421 John Unions, East Carriemouth, OH 31522",Angiefurt,CM,Joseph Bell,(775)632-6812,jonesjose@yahoo.com,81,2,46834660,ACTIVE,6542,14.4
INV8209,03/08/2024,15/05/2024,4589.9,USD,CONFIRMED,SUPP524,EXT824148,Simpson-Hammond,"7177 Sonia Locks, Singletonfort, OR 67679",Lake Vincent,SE,Paul Davis,4393759430,parkerpamela@hotmail.com,94,3,11835016,ACTIVE,7017,14.7
INV5074,05/03/2024,01/02/2025,2541.25,EUR,CANCELLED,SUPP230,EXT972885,Gray-Flores,"725 Debra Forges Suite 650, Lake Edwin, KS 10015",Christopherborough,CD,Ryan Arias,+1-563-923-8437x153,pmartinez@hotmail.com,60,4,42120156,ACTIVE,1082,16.3
